question,options,correct_answer
"In PyTorch, how do you define a custom dataset class for loading images?","Subclassing `torch.utils.data.Dataset` and implementing `__len__` and `__getitem__`,Using the `torch.nn.Module` class,Defining a Python function,Using the `torchvision` library",Subclassing `torch.utils.data.Dataset` and implementing `__len__` and `__getitem__`
What is the purpose of the Batch Normalization layer in a neural network?,"Improves convergence during training,Reduces the number of parameters,Adds non-linearity to the model,Increases the learning rate",Improves convergence during training
How can you initialize the weights of a neural network in PyTorch?,"torch.init_weights(),torch.initialize_weights(),torch.nn.init(),torch.weights_init()",torch.nn.init()
Which function is used to perform a forward pass in PyTorch?,"model.forward(),model.backward(),model.predict(),model.training()",model.forward()
What is the purpose of the Rectified Linear Unit (ReLU) activation function?,"Introduces non-linearity,Ensures smooth gradients,Reduces overfitting,Normalizes the input",Introduces non-linearity
How do you define a convolutional layer in PyTorch?,"torch.FullyConnectedLayer(),torch.Conv2d(),torch.MaxPooling2d(),torch.ActivationLayer()",torch.Conv2d()
What is the purpose of the `torchvision.transforms` module?,"Applies transformations to images,Defines loss functions,Optimizes model parameters,Handles automatic differentiation",Applies transformations to images
How do you perform transfer learning in PyTorch using a pre-trained model?,"Load the pre-trained model and replace the final fully-connected layer,Load the pre-trained model and replace all layers,Train the model from scratch,Use the pre-trained model without any modifications",Load the pre-trained model and replace the final fully-connected layer
What is the purpose of the `torch.nn.CrossEntropyLoss` in PyTorch?,"Combines softmax activation and negative log-likelihood loss,Calculates mean squared error loss,Applies binary cross-entropy loss,Defines a custom loss function",Combines softmax activation and negative log-likelihood loss
"In PyTorch, how do you calculate the number of parameters in a neural network model?","Sum the number of parameters in each layer,Count the number of layers,Use the `torch.nn.parameter_count()` function,It is not possible to calculate the number of parameters",Sum the number of parameters in each layer
How do you visualize filters learned by a convolutional layer in PyTorch?,"Extract and display the learned filters using matplotlib,Use the `torch.visualization` module,Print the filters using the `print` function,There is no way to visualize learned filters",Extract and display the learned filters using matplotlib
What is the purpose of the ReLU activation function in a neural network?,"Introduces non-linearity,Ensures smooth gradients,Reduces overfitting,Normalizes the input",Introduces non-linearity
How can you check if a GPU is available in PyTorch?,"torch.has_gpu(),torch.cuda.is_available(),torch.detect_gpu(),torch.gpu_count()",torch.cuda.is_available()
What is the purpose of the `torch.nn.Dropout` layer?,"Reduces overfitting by randomly setting a fraction of input units to zero during training,Increases the learning rate,Normalizes the input,Adds non-linearity to the model",Reduces overfitting by randomly setting a fraction of input units to zero during training
Which loss function is commonly used for binary classification in PyTorch?,"Binary Cross-Entropy Loss,Hinge Loss,Squared Error Loss,Categorical Cross-Entropy Loss",Binary Cross-Entropy Loss
What does the `torchvision.models` module provide in PyTorch?,"Pre-trained models,Activation functions,Optimizers,Data loaders",Pre-trained models
"In PyTorch, what is the purpose of the Batch Normalization layer in a neural network?","Improves convergence during training,Reduces the number of parameters,Adds non-linearity to the model,Increases the learning rate",Improves convergence during training
How can you initialize the weights of a neural network in PyTorch?,"torch.init_weights(),torch.initialize_weights(),torch.nn.init(),torch.weights_init()",torch.nn.init()
Which function is used to perform a forward pass in PyTorch?,"model.forward(),model.backward(),model.predict(),model.training()",model.forward()
What is the purpose of the Rectified Linear Unit (ReLU) activation function?,"Introduces non-linearity,Ensures smooth gradients,Reduces overfitting,Normalizes the input",Introduces non-linearity
How do you define a convolutional layer in PyTorch?,"torch.FullyConnectedLayer(),torch.Conv2d(),torch.MaxPooling2d(),torch.ActivationLayer()",torch.Conv2d()
What is the purpose of the `torchvision.transforms` module?,"Applies transformations to images,Defines loss functions,Optimizes model parameters,Handles automatic differentiation",Applies transformations to images
Which optimizer is commonly used for training deep neural networks in PyTorch?,"Adam,Stochastic Gradient Descent (SGD),RMSprop,Adagrad",Adam
How do you perform transfer learning in PyTorch using a pre-trained model?,"Load the pre-trained model and replace the final fully-connected layer,Load the pre-trained model and replace all layers,Train the model from scratch,Use the pre-trained model without any modifications",Load the pre-trained model and replace the final fully-connected layer
What is the purpose of the `torch.nn.CrossEntropyLoss` in PyTorch?,"Combines softmax activation and negative log-likelihood loss,Calculates mean squared error loss,Applies binary cross-entropy loss,Defines a custom loss function",Combines softmax activation and negative log-likelihood loss
"In PyTorch, how do you calculate the number of parameters in a neural network model?","Sum the number of parameters in each layer,Count the number of layers,Use the `torch.nn.parameter_count()` function,It is not possible to calculate the number of parameters",Sum the number of parameters in each layer
How do you visualize filters learned by a convolutional layer in PyTorch?,"Extract and display the learned filters using matplotlib,Use the `torch.visualization` module,Print the filters using the `print` function,There is no way to visualize learned filters",Extract and display the learned filters using matplotlib
What is the purpose of the ReLU activation function in a neural network?,"Introduces non-linearity,Ensures smooth gradients,Reduces overfitting,Normalizes the input",Introduces non-linearity
How can you check if a GPU is available in PyTorch?,"torch.has_gpu(),torch.cuda.is_available(),torch.detect_gpu(),torch.gpu_count()",torch.cuda.is_available()
What is the purpose of the `torch.nn.Dropout` layer?,"Reduces overfitting by randomly setting a fraction of input units to zero during training,Increases the learning rate,Normalizes the input,Adds non-linearity to the model",Reduces overfitting by randomly setting a fraction of input units to zero during training
Which loss function is commonly used for binary classification in PyTorch?,"Binary Cross-Entropy Loss,Hinge Loss,Squared Error Loss,Categorical Cross-Entropy Loss",Binary Cross-Entropy Loss
What does the `torchvision.models` module provide in PyTorch?,"Pre-trained models,Activation functions,Optimizers,Data loaders",Pre-trained models
"In PyTorch, what is the purpose of the Batch Normalization layer in a neural network?","Improves convergence during training,Reduces the number of parameters,Adds non-linearity to the model,Increases the learning rate",Improves convergence during training
How can you initialize the weights of a neural network in PyTorch?,"torch.init_weights(),torch.initialize_weights(),torch.nn.init(),torch.weights_init()",torch.nn.init()
Which function is used to perform a forward pass in PyTorch?,"model.forward(),model.backward(),model.predict(),model.training()",model.forward()
What is the purpose of the Rectified Linear Unit (ReLU) activation function?,"Introduces non-linearity,Ensures smooth gradients,Reduces overfitting,Normalizes the input",Introduces non-linearity
How do you define a convolutional layer in PyTorch?,"torch.FullyConnectedLayer(),torch.Conv2d(),torch.MaxPooling2d(),torch.ActivationLayer()",torch.Conv2d()
What is the purpose of the `torchvision.transforms` module?,"Applies transformations to images,Defines loss functions,Optimizes model parameters,Handles automatic differentiation",Applies transformations to images
Which optimizer is commonly used for training deep neural networks in PyTorch?,"Adam,Stochastic Gradient Descent (SGD),RMSprop,Adagrad",Adam
How do you perform transfer learning in PyTorch using a pre-trained model?,"Load the pre-trained model and replace the final fully-connected layer,Load the pre-trained model and replace all layers,Train the model from scratch,Use the pre-trained model without any modifications",Load the pre-trained model and replace the final fully-connected layer
What is the purpose of the `torch.nn.CrossEntropyLoss` in PyTorch?,"Combines softmax activation and negative log-likelihood loss,Calculates mean squared error loss,Applies binary cross-entropy loss,Defines a custom loss function",Combines softmax activation and negative log-likelihood loss
"In PyTorch, how do you calculate the number of parameters in a neural network model?","Sum the number of parameters in each layer,Count the number of layers,Use the `torch.nn.parameter_count()` function,It is not possible to calculate the number of parameters",Sum the number of parameters in each layer
